# Lambda_15(1^10) feasible distributions with C <= 2050
# Format: C, a (ball-14), b (ball-15), d (ball-16)
# Total: 1242 combinations

2049,81,95,1873
2049,82,93,1874
2049,83,91,1875
2049,84,89,1876
2049,85,87,1877
2049,86,85,1878
2049,87,83,1879
2049,88,81,1880
2049,89,79,1881
2049,90,77,1882
2049,91,75,1883
2049,92,73,1884
2049,93,71,1885
2049,94,69,1886
2049,95,67,1887
2049,96,65,1888
2049,97,63,1889
2049,98,61,1890
2049,99,59,1891
2049,100,57,1892
2049,101,55,1893
2049,102,53,1894
2049,103,51,1895
2049,104,49,1896
2049,105,47,1897
2049,106,45,1898
2049,107,43,1899
2049,108,41,1900
2049,109,39,1901
2049,110,37,1902
2049,111,35,1903
2049,112,33,1904
2049,113,31,1905
2049,114,29,1906
2049,115,27,1907
2049,116,25,1908
2049,117,23,1909
2049,118,21,1910
2049,119,19,1911
2049,120,17,1912
2049,121,15,1913
2049,122,13,1914
2049,123,11,1915
2049,124,9,1916
2049,125,7,1917
2049,126,5,1918
2049,127,3,1919
2049,128,1,1920
2050,0,273,1777
2050,1,271,1778
2050,2,269,1779
2050,3,267,1780
2050,4,265,1781
2050,5,263,1782
2050,6,261,1783
2050,7,259,1784
2050,8,257,1785
2050,9,255,1786
2050,10,253,1787
2050,11,251,1788
2050,12,249,1789
2050,13,247,1790
2050,14,245,1791
2050,15,243,1792
2050,16,241,1793
2050,17,239,1794
2050,18,237,1795
2050,19,235,1796
2050,20,233,1797
2050,21,231,1798
2050,22,229,1799
2050,23,227,1800
2050,24,225,1801
2050,25,223,1802
2050,26,221,1803
2050,27,219,1804
2050,28,217,1805
2050,29,215,1806
2050,30,213,1807
2050,31,211,1808
2050,32,209,1809
2050,33,207,1810
2050,34,205,1811
2050,35,203,1812
2050,36,201,1813
2050,37,199,1814
2050,38,197,1815
2050,39,195,1816
2050,40,193,1817
2050,41,191,1818
2050,42,189,1819
2050,43,187,1820
2050,44,185,1821
2050,45,183,1822
2050,46,181,1823
2050,47,179,1824
2050,48,177,1825
2050,49,175,1826
2050,50,173,1827
2050,51,171,1828
2050,52,169,1829
2050,53,167,1830
2050,54,165,1831
2050,55,163,1832
2050,56,161,1833
2050,57,159,1834
2050,58,157,1835
2050,59,155,1836
2050,60,153,1837
2050,61,151,1838
2050,62,149,1839
2050,63,147,1840
2050,64,145,1841
2050,65,143,1842
2050,66,141,1843
2050,67,139,1844
2050,68,137,1845
2050,69,135,1846
2050,70,133,1847
2050,71,131,1848
2050,72,129,1849
2050,73,127,1850
2050,74,125,1851
2050,75,123,1852
2050,76,121,1853
2050,77,119,1854
2050,78,117,1855
2050,79,115,1856
2050,80,113,1857
2050,81,111,1858
2050,82,109,1859
2050,83,107,1860
2050,84,105,1861
2050,85,103,1862
2050,86,101,1863
2050,87,99,1864
2050,88,97,1865
2050,89,95,1866
2050,90,93,1867
2050,91,91,1868
2050,92,89,1869
2050,93,87,1870
2050,94,85,1871
2050,95,83,1872
2050,96,81,1873
2050,97,79,1874
2050,98,77,1875
2050,99,75,1876
2050,100,73,1877
2050,101,71,1878
2050,102,69,1879
2050,103,67,1880
2050,104,65,1881
2050,105,63,1882
2050,106,61,1883
2050,107,59,1884
2050,108,57,1885
2050,109,55,1886
2050,110,53,1887
2050,111,51,1888
2050,112,49,1889
2050,113,47,1890
2050,114,45,1891
2050,115,43,1892
2050,116,41,1893
2050,117,39,1894
2050,118,37,1895
2050,119,35,1896
2050,120,33,1897
2050,121,31,1898
2050,122,29,1899
2050,123,27,1900
2050,124,25,1901
2050,125,23,1902
2050,126,21,1903
2050,127,19,1904
2050,128,17,1905
2050,129,15,1906
2050,130,13,1907
2050,131,11,1908
2050,132,9,1909
2050,133,7,1910
2050,134,5,1911
2050,135,3,1912
2050,136,1,1913
